Source,Target,Type,Id,Label,Weight,d1
Massively Multiplayer Online Role-Playing Game,Massively Multiplayer Online Game,Directed,5758,,1,0
Massively Multiplayer Online Role-Playing Game,Massively Multiplayer Online Real-Time Strategy Game,Directed,5759,,1,0
Massively Multiplayer Online Role-Playing Game,Maze Video Game,Directed,5760,,1,0
Massively Multiplayer Online Role-Playing Game,Metroidvania,Directed,5761,,1,0
Massively Multiplayer Online Role-Playing Game,Microtransactions,Directed,5762,,1,0
Massively Multiplayer Online Role-Playing Game,Minigame,Directed,5763,,1,0
Massively Multiplayer Online Role-Playing Game,Mob (Computer Gaming),Directed,5764,,1,0
Massively Multiplayer Online Role-Playing Game,Monster-Taming Game,Directed,5765,,1,0
Massively Multiplayer Online Role-Playing Game,Multi-User Dungeon,Directed,5766,,1,0
Massively Multiplayer Online Role-Playing Game,Multiplayer Online Battle Arena,Directed,5767,,1,0
Massively Multiplayer Online Role-Playing Game,Multiplayer Video Game,Directed,5768,,1,0
Massively Multiplayer Online Role-Playing Game,Music Video Game,Directed,5769,,1,0
Massively Multiplayer Online Role-Playing Game,Newsgame,Directed,5770,,1,0
Massively Multiplayer Online Role-Playing Game,Non-Game,Directed,5771,,1,0
Massively Multiplayer Online Role-Playing Game,Non-Player Character,Directed,5772,,1,0
Massively Multiplayer Online Role-Playing Game,Nonlinear Gameplay,Directed,5773,,1,0
Massively Multiplayer Online Role-Playing Game,Nonviolent Video Game,Directed,5774,,1,0
Massively Multiplayer Online Role-Playing Game,Online Game,Directed,5775,,1,0
Massively Multiplayer Online Role-Playing Game,Open-Source Software,Directed,5776,,1,0
Massively Multiplayer Online Role-Playing Game,Open World,Directed,5777,,1,0
Massively Multiplayer Online Role-Playing Game,Otome Game,Directed,5778,,1,0
Massively Multiplayer Online Role-Playing Game,Party Video Game,Directed,5779,,1,0
Massively Multiplayer Online Role-Playing Game,Persistent World,Directed,5780,,1,0
Massively Multiplayer Online Role-Playing Game,Personalized Video Game,Directed,5781,,1,0
Massively Multiplayer Online Role-Playing Game,Phantasy Star Online,Directed,5782,,1,0
Massively Multiplayer Online Role-Playing Game,Photography Game,Directed,5783,,1,0
Massively Multiplayer Online Role-Playing Game,Platform Fighter,Directed,5784,,1,0
Massively Multiplayer Online Role-Playing Game,Platformer,Directed,5785,,1,0
Massively Multiplayer Online Role-Playing Game,Playstation 2,Directed,5786,,1,0
Massively Multiplayer Online Role-Playing Game,Player Character,Directed,5787,,1,0
Massively Multiplayer Online Role-Playing Game,Player Versus Player,Directed,5788,,1,0
Massively Multiplayer Online Role-Playing Game,Programming Game,Directed,5789,,1,0
Massively Multiplayer Online Role-Playing Game,Puzzle Video Game,Directed,5790,,1,0
Massively Multiplayer Online Role-Playing Game,Quest (Gaming),Directed,5791,,1,0
Massively Multiplayer Online Role-Playing Game,Quest (Video Games),Directed,5792,,1,0
